TERRITORY,COUNTRY_CODE,TOTAL_LISTENERS,SUPER_LISTENERS,SUPER_LISTENER_PCT
San Pedro Cholula,MX,6,0,0
Tenancingo,MX,6,0,0
Chignahuapan,MX,6,0,0
Foxboro,CA,6,0,0
Ãlamo Rustico,MX,6,2,33.33
Chelsea,CA,6,0,0
Pont-Rouge,CA,6,0,0
Tecumseh,CA,6,0,0
Qualicum Beach,CA,6,0,0
Concord,CA,6,1,16.67
Norwich,CA,5,0,0
Saint-Lazare,CA,5,0,0
Lynden,CA,5,1,20
MinatitlÃ¡n,MX,5,1,20
Poza Rica de Hidalgo,MX,5,1,20
Residencial Hacienda San MartÃ­n,MX,5,0,0
Jasper,CA,5,0,0
North Battleford,CA,5,0,0
Thetford Mines,CA,5,0,0
Hammonds Plains,CA,5,0,0
Middle Sackville,CA,5,0,0
Rocky Mountain House,CA,5,0,0
San Juan de las Manzanas,MX,5,0,0
Texcoco de Mora,MX,5,1,20
Ciudad GuzmÃ¡n,MX,5,1,20
Tantoyuca,MX,5,0,0
Saint-Lin-Laurentides,CA,5,0,0
Grand Forks,CA,5,0,0
Sechelt,CA,5,1,20
Tula de Allende,MX,5,0,0
Merritt,CA,5,0,0
Stittsville,CA,5,0,0
Fort Frances,CA,5,0,0
King City,CA,5,2,40
Cozumel,MX,5,1,20
La Piedad,MX,5,0,0
Snow Road Station,CA,5,1,20
Comalcalco,MX,5,0,0
San Francisco Tlalcilalcalpan,MX,5,0,0
Santiago Ixcuintla,MX,5,1,20
Hinton,CA,5,0,0
Teziutlan,MX,5,0,0
Amos,CA,5,1,20
Erin,CA,5,0,0
Leamington,CA,5,2,40
Lachute,CA,5,0,0
Cuautlancingo,MX,5,0,0
Galiano,CA,5,1,20
Port Elgin,CA,5,0,0
Santa Maria Tultepec,MX,5,2,40
Cardonal,MX,5,1,20
Fonthill,CA,5,0,0
Lively,CA,5,0,0
Iguala de la Independencia,MX,5,0,0
La piedad de Cabadas,MX,5,0,0
Heroica Nogales,MX,5,0,0
Xochitepec,MX,5,1,20
Benito Juarez,MX,5,0,0
Goderich,CA,5,0,0
El Rosario,MX,5,1,20
Port Hope,CA,5,1,20
Temixco,MX,5,0,0
Lindsay,CA,5,0,0
Crofton,CA,5,1,20
Smithers,CA,5,0,0
CÃ´te Saint-Luc,CA,5,1,20
Selkirk,CA,5,1,20
Bois-des-Filion,CA,5,1,20
Tepeaca,MX,5,0,0
Port Dover,CA,5,0,0
Westbank,CA,5,1,20
Almonte,CA,5,0,0
Zacapu,MX,5,0,0
Ticul,MX,5,0,0
Breslau,CA,5,0,0
Port Perry,CA,5,1,20
Mercier,CA,5,0,0
Kemptville,CA,5,0,0
Amherst,CA,5,1,20
Morinville,CA,5,0,0
Santiago Papasquiaro,MX,5,0,0
Osoyoos,CA,5,0,0
Trenton,CA,5,0,0
Ahualulco de Mercado,MX,4,0,0
Baden,CA,4,1,25
Tepatepec,MX,4,0,0
Langdon,CA,4,0,0
Santiago,MX,4,1,25
Ignacio de La Llave,MX,4,0,0
Saint-LÃ©onard,CA,4,1,25
Las Lomas,MX,4,1,25
Zona este Milenio III,MX,4,0,0
Fort Nelson,CA,4,0,0
Ile des Chenes,CA,4,0,0
Heroica Guaymas,MX,4,0,0
New Richmond,CA,4,0,0
Espanola,CA,4,0,0
Saint-Gilles,CA,4,0,0
Schomberg,CA,4,1,25
Chiconcuac,MX,4,1,25
Azcapotzalco,MX,4,1,25
Bromont,CA,4,0,0
Saint-Amable,CA,4,0,0
Mont-Laurier,CA,4,0,0
Saint-Augustin-de-Desmaures,CA,4,1,25
Carignan,CA,4,0,0
Cananea,MX,4,0,0
Russell,CA,4,0,0
Lacombe,CA,4,0,0
Farnham,CA,4,0,0
Beauharnois,CA,4,0,0
Nuevo Vallarta,MX,4,0,0
San Cayetano Morelos,MX,4,0,0
Centro,MX,4,1,25
Flin Flon,CA,4,0,0
Kincardine,CA,4,2,50
Acayucan,MX,4,0,0
Martinez de La Torre,MX,4,0,0
Caledonia,CA,4,0,0
Leith,CA,4,0,0
Huimanguillo,MX,4,1,25
Saint-JÃ©rÃ´me,CA,4,1,25
Amherstburg,CA,4,0,0
Manotick,CA,4,0,0
Mitchell,CA,4,0,0
Morden,CA,4,0,0
Heroica Matamoros,MX,4,0,0
Distrito Federal,MX,4,0,0
Winchester Springs,CA,4,1,25
Greenwood,CA,4,1,25
Saddle Lake,CA,4,0,0
Pueblo Nuevo,MX,4,0,0
Hampton,CA,4,0,0
Powell River,CA,4,0,0
San MartÃ­n Texmelucan de Labastida,MX,4,0,0
La Tuque,CA,4,0,0
Compostela,MX,4,1,25
Creston,CA,4,0,0
Bonnyville,CA,4,0,0
Nanoose Bay,CA,4,0,0
Martensville,CA,4,0,0
North Saanich,CA,4,0,0
St. Andrews,CA,4,0,0
Los Reyes de Salgado,MX,4,0,0
Petawawa,CA,4,0,0
Pachuquilla,MX,4,0,0
Aylmer,CA,4,0,0
Parry Sound,CA,4,0,0
Happy Valley-Goose Bay,CA,4,0,0
Cookshire-Eaton,CA,4,0,0
Saint-Nicolas,CA,4,1,25
Renfrew,CA,4,0,0
Victoria,MX,4,1,25
Hidalgo del Parral,MX,4,0,0
Huntsville,CA,4,0,0
Fox Creek,CA,4,1,25
Strathmore,CA,4,0,0
Silao,MX,4,1,25
Loreto,MX,4,0,0
Edmundston,CA,4,0,0
Ixmiquilpan,MX,4,0,0
Orford,CA,4,1,25
Agua Prieta,MX,4,1,25
Teocaltiche,MX,4,0,0
MontrÃ©al-Nord,CA,4,0,0
Warman,CA,4,0,0
Mill Bay,CA,4,1,25
Zacatepec de Hidalgo,MX,4,0,0
Anjou,CA,4,0,0
Vista Hermosa,MX,4,0,0
Unionville,CA,4,0,0
Donnacona,CA,4,0,0
Angus,CA,4,1,25
TepotzotlÃ¡n,MX,4,1,25
Belle River,CA,4,1,25
Tillsonburg,CA,4,0,0
Bradford,CA,4,1,25
Gibsons,CA,4,0,0
Abasolo,MX,3,0,0
Grand Bay-Westfield,CA,3,1,33.33
Gold River,CA,3,0,0
Enfield,CA,3,0,0
Kentville,CA,3,0,0
Ta Ta Creek,CA,3,0,0
Winkler,CA,3,0,0
Coteau-du-Lac,CA,3,0,0
Asbestos,CA,3,0,0
Las Pintas,MX,3,1,33.33
San Juan Bautista Tuxtepec,MX,3,1,33.33
Ciudad JuÃ¡rez,MX,3,1,33.33
Ridgetown,CA,3,0,0
Roberval,CA,3,0,0
Santiago Tlapacoya Centro,MX,3,0,0
Durham,CA,3,1,33.33
Los Reyes Acaquilpan (La Paz),MX,3,0,0
Kahnawake,CA,3,0,0
San miguel de Allende,MX,3,1,33.33
AtizapÃ¡n de Zaragoza,MX,3,0,0
Lunenburg,CA,3,0,0
Labrador City,CA,3,0,0
Beamsville,CA,3,0,0
Teoloyucan,MX,3,0,0
Xalisco,MX,3,1,33.33
Brisas de Zicatela,MX,3,0,0
Santa Cruz de las Flores,MX,3,0,0
Sooke,CA,3,0,0
Tlatlauquitepec,MX,3,1,33.33
Brant,CA,3,0,0
Mezcales,MX,3,0,0
CÃ¡rdenas,MX,3,0,0
Matane,CA,3,1,33.33
Pemberton,CA,3,0,0
Hope,CA,3,0,0
Douglas,CA,3,0,0
Comonfort,MX,3,0,0
La Crucecita,MX,3,0,0
Glace Bay,CA,3,0,0
Sainte-Madeleine,CA,3,0,0
Chandler,CA,3,0,0
Roxton Pond,CA,3,0,0
Saint-Bruno,CA,3,0,0
Gananoque,CA,3,0,0
Catemaco,MX,3,1,33.33
Ville-Marie,CA,3,0,0
Villa de Pozos,MX,3,0,0
Sainte-Julienne,CA,3,0,0
Ste-Catherine-de-la-Jacques-Cartier,CA,3,1,33.33
Dawson Creek,CA,3,0,0
Huehuetoca,MX,3,0,0
San Juan Teotihuacan de Arista,MX,3,0,0
Niagara On The Lake,CA,3,2,66.67
San Felipe,MX,3,0,0
Santa MarÃ­a,MX,3,0,0
Fall River,CA,3,0,0
Ciudad AcuÃ±a,MX,3,0,0
Arnprior,CA,3,0,0
Hawkesbury,CA,3,0,0
Las Margaritas,MX,3,0,0
Keswick Ridge,CA,3,0,0
Rigaud,CA,3,1,33.33
TÃºxpam de RodrÃ­guez Cano,MX,3,0,0
Alliston,CA,3,0,0
Vanderhoof,CA,3,0,0
Lakefield,CA,3,0,0
Villas Ave Real,MX,3,0,0
Romita,MX,3,1,33.33
Conception Bay South,CA,3,0,0
Magdalena de Kino,MX,3,0,0
Nezahualcoyotl,MX,3,0,0
Matehuala,MX,3,0,0
Apaseo el Alto,MX,3,1,33.33
Lac La Biche,CA,3,0,0
Swift Current,CA,3,1,33.33
High Prairie,CA,3,0,0
Chicoutimi,CA,3,0,0
Ciudad Manuel Doblado,MX,3,0,0
Lerma de Villada Centro,MX,3,1,33.33
Lansdowne,CA,3,0,0
La Baie,CA,3,0,0
Apaseo el Grande,MX,3,1,33.33
Jaltepec,MX,3,0,0
Libertad,MX,3,0,0
Tamazula de Gordiano,MX,3,1,33.33
Nisku,CA,3,1,33.33
Minden,CA,3,0,0
Stonewall,CA,3,1,33.33
Viva Caucel,MX,3,0,0
Morrisburg,CA,3,0,0
Chibougamau,CA,3,0,0
Tequixquiac,MX,3,0,0
Peace River,CA,3,0,0
Calkini,MX,3,0,0
San Lorenzo Toxico,MX,3,0,0
Vista Bella,MX,3,0,0
Westville,CA,3,0,0
Ayr,CA,3,0,0
Zamora de Hidalgo,MX,3,1,33.33
Cosoleacaque,MX,3,1,33.33
Guasave,MX,3,0,0
Tapachula de CÃ³rdova y OrdÃ³Ã±ez,MX,3,0,0
Huatabampo,MX,3,1,33.33
Oromocto,CA,3,0,0
Galeana,MX,3,0,0
Tezoyuca,MX,3,0,0
Chapala,MX,3,1,33.33
Gravenhurst,CA,3,1,33.33
Ciudad Hidalgo,MX,3,0,0
VÃ­ctor Rosales,MX,3,0,0
El Mante,MX,3,0,0
La Sarre,CA,3,1,33.33
Kodiak,US,3,0,0
San Pedro,MX,3,2,66.67
San Buenaventura,MX,3,0,0
Contrecoeur,CA,3,0,0
Sioux Lookout,CA,3,0,0
Felipe Carrillo Puerto,MX,3,0,0
North Hatley,CA,3,0,0
Tees,CA,3,0,0
Enoch,CA,3,0,0
Las Vigas de Ramirez,MX,3,0,0
Duncan,CA,3,0,0
Comox,CA,3,0,0
Watford,CA,3,0,0
Ajijic,MX,3,0,0
Rio Grande,MX,3,0,0
Hanmer,CA,3,1,33.33
Alberton,CA,3,1,33.33
Xotik,MX,3,0,0
Cuauhtemoc,MX,3,0,0
Sylvan Lake,CA,3,0,0
San Marcos,MX,3,0,0
Ladysmith,CA,3,0,0
Bridgewater,CA,3,0,0
Cantley,CA,3,1,33.33
Acajete,MX,3,0,0
Ixtapan de la Sal,MX,3,1,33.33
Ciudad ObregÃ³n,MX,3,0,0
Amqui,CA,2,2,100
El Carmen,MX,2,0,0
Oliver,CA,2,0,0
Tehuantepec,MX,2,0,0
Chocaman,MX,2,0,0
Westbridge,CA,2,0,0
Carstairs,CA,2,0,0
San Salvador,MX,2,1,50
Torres Residencial Campestre SantamarÃ­a,MX,2,0,0
San Juan Tepa,MX,2,0,0
Santa Ana Pacueco,MX,2,0,0
Prudhoe Bay,US,2,1,50
ZibatÃ¡,MX,2,2,100
GuamÃºchil,MX,2,0,0
Sainte-Anne-des-Plaines,CA,2,0,0
Tlalminulpa,MX,2,0,0
Warwick,CA,2,1,50
Sunset House,CA,2,0,0
Campbellford,CA,2,0,0
San Bernardino,MX,2,0,0
San Antonio la Isla,MX,2,1,50
Centro Urbano,MX,2,1,50
Athabasca,CA,2,0,0
Port McNicoll,CA,2,0,0
Mono,CA,2,0,0
Otonabee,CA,2,0,0
Soledad de Graciano SÃ¡nchez,MX,2,0,0
Sabrevois,CA,2,0,0
San Miguel,MX,2,0,0
Saint-Philippe,CA,2,0,0
Haliburton,CA,2,1,50
Kindersley,CA,2,0,0
Laredo,MX,2,0,0
Jiquipilas,MX,2,0,0
San Pedro Tultepec,MX,2,0,0
Armstrong,CA,2,1,50
Beauval,CA,2,2,100
Grand Rapids,CA,2,0,0
Roxboro,CA,2,0,0
Villas de San Mateo,MX,2,0,0
Villa Zipecua,MX,2,1,50
Dalmeny,CA,2,0,0
Picton,CA,2,0,0
Altona,CA,2,1,50
Black Diamond,CA,2,1,50
Tlapacoyan,MX,2,0,0
Saint-Hippolyte,CA,2,0,0
Red Earth,CA,2,0,0
Vistas de TesistÃ¡n,MX,2,0,0
Saint-Agapit,CA,2,0,0
Montebello,CA,2,0,0
Carlisle,CA,2,0,0
Brentwood Bay,CA,2,0,0
Bay Roberts,CA,2,0,0
ParaÃ­so,MX,2,0,0
Xel-hua,MX,2,0,0
Bishops Falls,CA,2,0,0
Saint-Joseph-du-Lac,CA,2,1,50
La Crete,CA,2,1,50
Villas los Ãngeles,MX,2,0,0
TenerÃ­a de Valdez,MX,2,0,0
Wilberforce,CA,2,0,0
Exeter,CA,2,0,0
Brooklyn,CA,2,0,0
Coronation,CA,2,0,0
Seaforth,CA,2,1,50
Saint-Sulpice,CA,2,0,0
Tweed,CA,2,0,0
M'Chigeeng,CA,2,0,0
Westlock,CA,2,1,50
Dunnville,CA,2,0,0
Lavington,CA,2,0,0
Santiago Tianguistenco de Galeana,MX,2,0,0
Tepeji del Rio,MX,2,0,0
Playas de Rosarito,MX,2,0,0
Santiago Pinotepa Nacional,MX,2,0,0
Delhi,CA,2,0,0
East St. Paul,CA,2,0,0
Villas del MesÃ³n,MX,2,0,0
Santa Anita Huiloac,MX,2,0,0
Yerbabuena,MX,2,0,0
Sainte-Anne-du-Sault,CA,2,1,50
Stettler,CA,2,0,0
Strathroy,CA,2,0,0
Sackville,CA,2,0,0
Cole Harbour,CA,2,0,0
Camargo,MX,2,0,0
Acton,CA,2,0,0
Saint-Germain-de-Grantham,CA,2,0,0
Saint-Lambert-de-Lauzon,CA,2,0,0
El Llano,MX,2,0,0
Midhurst,CA,2,0,0
San Cayetano,MX,2,0,0
Coaldale,CA,2,0,0
Parras de la Fuente,MX,2,0,0
Valcourt,CA,2,0,0
Monte Creek,CA,2,0,0
Libres,MX,2,1,50
La Loma,MX,2,0,0
Lerdo,MX,2,0,0
Upper Tantallon,CA,2,0,0
Vista del Mar,MX,2,1,50
Cuapiaxtla de Madero,MX,2,0,0
Ciudad de Villa de Ãlvarez,MX,2,0,0
El Paso,MX,2,0,0
Fossambault-sur-le-Lac,CA,2,1,50
La y,MX,2,0,0
Villas de Cortes,MX,2,0,0
Vista del Valle,MX,2,0,0
Santa Elena,MX,2,1,50
Villanueva,MX,2,0,0
Godmanchester,CA,2,0,0
Canning,CA,2,1,50
Streamstown,CA,2,0,0
Waterford,CA,2,0,0
Pakenham,CA,2,0,0
San Lorenzo Tlacotepec,MX,2,0,0
Bright's Grove,CA,2,0,0
Napierville,CA,2,0,0
Perez de Galeana,MX,2,0,0
Stephenville,CA,2,0,0
La Barca,MX,2,0,0
Hannibal,US,2,0,0
Wetaskiwin,CA,2,0,0
Wiarton,CA,2,0,0
Bible Hill,CA,2,0,0
Val-des-Monts,CA,2,0,0
Saint-Jude,CA,2,0,0
Nuevo Casas Grandes,MX,2,1,50
Saint-Antoine-de-Tilly,CA,2,0,0
Reforma,MX,2,0,0
Chemainus,CA,2,0,0
Pasadena,CA,2,0,0
Walhachin,CA,2,0,0
Fatima,CA,2,0,0
Cosolapa,MX,2,0,0
Apan,MX,2,0,0
Chester,CA,2,0,0
Halfmoon Bay,CA,2,0,0
Anola,CA,2,0,0
Sainte-ThÃ©rÃ¨se,CA,2,0,0
Santa Ana,MX,2,0,0
New Maryland,CA,2,0,0
San Francisco,MX,2,0,0
Montague,CA,2,0,0
Nuevo San Juan Parangaricutiro,MX,2,0,0
Verwood,CA,2,0,0
Saint-Michel-de-Bellechasse,CA,2,0,0
Acton Vale,CA,2,1,50
San Juan del RÃ­o,MX,2,1,50
Ixtlahuaca,MX,2,0,0
San AndrÃ©s OcotlÃ¡n,MX,2,0,0
Golden,CA,2,0,0
Heroica Caborca,MX,2,0,0
Humotitla,MX,2,0,0
Valle Dorado,MX,2,0,0
Lerma,MX,2,1,50
Meaford,CA,2,0,0
Richibucto Road,CA,2,0,0
Fort Vermilion,CA,2,0,0
Elliot Lake,CA,2,0,0
Vanier,CA,2,0,0
Drumheller,CA,2,1,50
Burton,CA,2,1,50
Tuxtepec,MX,2,0,0
Claremont,CA,2,0,0
Amacuzac,MX,2,0,0
Wauchope,CA,2,0,0
Port Hawkesbury,CA,2,0,0
Iroquois Falls,CA,2,0,0
Kirkland Lake,CA,2,0,0
Coronach,CA,2,0,0
Cumbres Provenza,MX,2,0,0
San Jose Del Castillo,MX,2,0,0
La Magdalena,MX,2,0,0
Llano Grande,MX,2,0,0
Errington,CA,2,0,0
El Cerrillo Vista Hermosa,MX,2,0,0
Brackendale,CA,2,0,0
Orion,CA,2,1,50
Los HÃ©roes III,MX,2,0,0
San Pablo Huixtepec,MX,2,0,0
Ucluelet,CA,2,0,0
Conejos,MX,2,0,0
Millbrook,CA,2,0,0
Rothesay,CA,2,0,0
Venustiano Carranza,MX,2,0,0
Yellow Creek,CA,2,1,50
Oriental,MX,2,0,0
Altotonga,MX,2,0,0
El Arenal,MX,2,0,0
Dryden,CA,2,0,0
San Diego,MX,2,0,0
Vermilion,CA,2,0,0
Tlacotepec,MX,2,0,0
Carman,CA,2,0,0
Chula Vista,MX,2,0,0
Melfort,CA,2,0,0
Balcarres,CA,2,0,0
Saint-Pascal,CA,2,0,0
Palomares,MX,2,0,0
Santa Cruz,MX,2,0,0
Melbourne,CA,2,0,0
Saint-Jean-Chrysostome,CA,2,0,0
Villas Cholul,MX,2,0,0
Morin-Heights,CA,2,0,0
Brighton,CA,2,0,0
Valle de San Miguel,MX,2,0,0
Sainte-Anne-de-Bellevue,CA,2,1,50
Port Franks,CA,2,0,0
San Luis RÃ­o Colorado,MX,2,0,0
Chesterville,CA,2,0,0
Jaral del Progreso,MX,2,0,0
Villas la CaÃ±ada,MX,2,0,0
Solidaridad,MX,2,1,50
Jalupa,MX,2,0,0
Stellarton,CA,2,0,0
Tequisquiapan,MX,2,0,0
Chilpancingo de los Bravo,MX,2,1,50
Sainte-Claire,CA,2,0,0
Cobble Hill,CA,2,0,0
Slave Lake,CA,2,0,0
Lac-Beauport,CA,2,0,0
Taber,CA,2,0,0
El Grullo,MX,2,0,0
Berthierville,CA,2,0,0
Marieville,CA,2,0,0
Acheson,CA,2,0,0
Queensville,CA,2,0,0
Saint-Zotique,CA,2,0,0
Tekit,MX,2,0,0
Westholme,CA,2,0,0
Plessisville,CA,2,0,0
San Juan Tuxco,MX,2,0,0
O'Leary,CA,2,0,0
Rivera Alta,MX,2,0,0
Tres Marias,MX,2,1,50
Lanoraie,CA,2,0,0
San JosÃ© Iturbide,MX,2,0,0
High River,CA,2,1,50
Wyoming,CA,2,0,0
Santa Lucia del Camino,MX,2,0,0
El Cerrito Parado,MX,2,1,50
RosemÃ¨re,CA,2,0,0
Coaticook,CA,2,0,0
Bobcaygeon,CA,2,0,0
Teapa,MX,2,1,50
Nakusp,CA,2,0,0
Lake Louise,CA,2,1,50
San Antonio,MX,2,0,0
Newcastle,CA,2,0,0
Colborne,CA,2,1,50
Terranova,MX,2,0,0
Dauphin,CA,2,1,50
Timberlea,CA,2,0,0
Saint-Jacques,CA,2,0,0
Frontera Comalapa,MX,2,0,0
Motozintla de Mendoza,MX,2,0,0
Hubbards,CA,2,1,50
Saint-Apollinaire,CA,2,0,0
Weyburn,CA,2,0,0
Corunna,CA,2,0,0
Gibbons,CA,2,0,0
Mount Hope,CA,2,1,50
Saint-Liboire,CA,2,0,0
Yarbo,CA,2,0,0
Ajusco,MX,2,0,0
Aldama,MX,2,0,0
FortÃ­n de las Flores,MX,2,0,0
Marystown,CA,2,0,0
Yorkton,CA,2,0,0
Juanacaxtle,MX,2,0,0
San Mateo Aticpac,MX,2,0,0
Molango,MX,2,1,50
Ãlvarez del Castillo,MX,2,0,0
Amaxac de Guerrero,MX,2,0,0
Smithville,CA,2,1,50
Huichapan,MX,2,0,0
Atitalaquia,MX,2,0,0
San Bartolo del Llano,MX,2,1,50
Penetanguishene,CA,2,0,0
Scanterbury,CA,2,0,0
Tlayacapan,MX,2,0,0
Ste Anne,CA,2,0,0
Tilbury,CA,2,0,0
GarcÃ­a,MX,2,0,0
Tequesquitengo,MX,2,0,0
Port McNeill,CA,2,0,0
Moctezuma 2,MX,2,1,50
Jerez de GarcÃ­a Salinas,MX,2,0,0
Chipilo,MX,2,0,0
Sayula,MX,2,0,0
Bath,CA,2,0,0
Beachburg,CA,2,0,0
San Miguel Tocuila,MX,2,0,0
Cuautla (Cuautla de Morelos),MX,2,0,0
PlatÃ³n SÃ¡nchez,MX,2,0,0
Thorsby,CA,2,0,0
Guadalupe Victoria,MX,2,0,0
Boca del RÃo,MX,2,0,0
New Germany,CA,2,0,0
JonquiÃ¨re,CA,2,0,0
Wikwemikong,CA,2,0,0
Azilda,CA,2,0,0
Carp,CA,2,1,50
Stoneham-et-Tewkesbury,CA,2,0,0
Coatzintla,MX,2,0,0
Walkerton,CA,2,0,0
Devon,CA,2,0,0
Saint-Pie,CA,2,0,0
La Soledad,MX,2,0,0
San Francisco de Campeche,MX,2,0,0
Richelieu,CA,2,0,0
Almoloya,MX,2,0,0
San JosÃ©,MX,2,1,50
San MartÃ­n,MX,2,0,0
San Antonio de las Huertas,MX,2,0,0
Yecapixtla,MX,2,0,0
Nanton,CA,2,0,0
Gunn,CA,2,0,0
Villa Hidalgo,MX,2,0,0
Atzacoalco,MX,2,0,0
CiÃ©nega de Flores,MX,2,1,50
Saint-Cyprien,CA,1,0,0
Sainte-Marie-de-Kent,CA,1,0,0
Vineland,CA,1,1,100
Otumba,MX,1,0,0
Cross Roads Country Harbour,CA,1,0,0
Tlachichuca,MX,1,0,0
Woodlawn,CA,1,0,0
Shearwater,CA,1,0,0
Mandeville,CA,1,0,0
Le Gardeur,CA,1,1,100
Beaverlodge,CA,1,0,0
Del Valle,MX,1,0,0
Sedue,MX,1,1,100
Dinsmore,CA,1,0,0
CuitlÃ¡huac,MX,1,0,0
Esterhazy,CA,1,0,0
South Porcupine,CA,1,1,100
Qikiqtarjuaq,CA,1,0,0
Pueblo Viejo,MX,1,0,0
Freelton,CA,1,0,0
Sutton,CA,1,1,100
Hillsborough,CA,1,1,100
Saint-Fulgence,CA,1,0,0
Wembley,CA,1,0,0
El Verde,MX,1,0,0
Wallaceburg,CA,1,0,0
Ixtepec,MX,1,0,0
Porters Lake,CA,1,0,0
Ixtapa,MX,1,0,0
Valle Verde,MX,1,1,100
Cabo Rojo,MX,1,0,0
Bonavista,CA,1,0,0
La Cruz,MX,1,0,0
Paris,CA,1,0,0
Val-Joli,CA,1,0,0
Saint-Thomas,CA,1,0,0
Pihuamo,MX,1,0,0
Enderby,CA,1,1,100
ZacualtipÃ¡n Centro,MX,1,1,100
Kingsey Falls,CA,1,0,0
New Minas,CA,1,0,0
Kinchil,MX,1,0,0
Edwin,CA,1,0,0
Villa Corona,MX,1,0,0
Ãrbol de Oro,MX,1,0,0
Fond du Lac,CA,1,0,0
Naranjos,MX,1,1,100
Tecolote Bataques,MX,1,0,0
Scotland,CA,1,0,0
Bouctouche,CA,1,1,100
Mount Forest,CA,1,0,0
Rawdon,CA,1,0,0
Beeton,CA,1,0,0
Niverville,CA,1,1,100
Saint-Flavien,CA,1,0,0
PesquerÃ­a,MX,1,0,0
Oxkutzcab,MX,1,0,0
Jose Maria Morelos,MX,1,0,0
San FÃ©lix,MX,1,0,0
Huicalco,MX,1,0,0
Acultzingo,MX,1,0,0
Shipshaw,CA,1,0,0
San Javier,MX,1,0,0
Wingham,CA,1,0,0
Saint-FÃ©lix-de-Valois,CA,1,0,0
Pie de La Cuesta,MX,1,0,0
Crabtree,CA,1,0,0
CuerÃ¡maro,MX,1,0,0
Jilotepec,MX,1,0,0
Las Choapas,MX,1,0,0
Cowansville,CA,1,1,100
San Pablito Calmimilolco,MX,1,0,0
Puerta del Monte,MX,1,0,0
Port Hardy,CA,1,0,0
Ãngeles Ixtacomitan,MX,1,0,0
NicolÃ¡s Bravo,MX,1,0,0
Bluesky,CA,1,0,0
Alma Campesina,MX,1,0,0
Howick,CA,1,0,0
Palau Mineral,MX,1,0,0
Santiago Tulantepec,MX,1,0,0
Nome,US,1,0,0
Roberts Creek,CA,1,0,0
Trout Lake,CA,1,0,0
Palenque,MX,1,0,0
Grand Falls-Windsor,CA,1,0,0
Saint-Charles-BorromÃ©e,CA,1,0,0
Mansonville,CA,1,0,0
Jilotepec de Molina EnrÃ­quez,MX,1,0,0
Lefaivre,CA,1,0,0
Otterville,CA,1,0,0
Valle de la Esperanza,MX,1,0,0
Atemajac de Brizuela,MX,1,0,0
San Francisco del RincÃ³n,MX,1,0,0
Vaudreuil-sur-le-Lac,CA,1,0,0
Ingleside,CA,1,0,0
AutlÃ¡n de Navarro,MX,1,0,0
Manuel Teniente,MX,1,0,0
Boischatel,CA,1,0,0
Rigolet,CA,1,0,0
Williams Harbour,CA,1,0,0
Zacatequillas,MX,1,0,0
Mille-Isles,CA,1,0,0
Scotch Creek,CA,1,0,0
Panales,MX,1,0,0
Chase,CA,1,0,0
Beauceville,CA,1,0,0
Coldbrook,CA,1,0,0
Tatoxcac,MX,1,0,0
Compton,CA,1,0,0
Saint-ZÃ©non,CA,1,0,0
Rockland,CA,1,0,0
San Pedro Pochutla,MX,1,0,0
Ocozocoautla de Espinosa,MX,1,0,0
Barrachois,CA,1,0,0
Cintalapa de Figueroa,MX,1,0,0
Hornby,CA,1,0,0
Navolato,MX,1,0,0
Kippens,CA,1,0,0
Hamiota,CA,1,0,0
Trois-Pistoles,CA,1,0,0
Tiny,CA,1,0,0
L'ÃŽle-Perrot,CA,1,0,0
Jalpa de MÃ©ndez,MX,1,0,0
La Puente,MX,1,0,0
Quiroga,MX,1,0,0
San Marcos Tlacoyalco,MX,1,0,0
Villaflores,MX,1,0,0
Saint-Albert,CA,1,0,0
Skookumchuck,CA,1,0,0
Limoges,CA,1,0,0
Woodville,CA,1,0,0
San Felipe Santiago,MX,1,0,0
Tracadie-Sheila,CA,1,0,0
Gilman,US,1,0,0
RiviÃ¨re-Ouelle,CA,1,0,0
River Bourgeois,CA,1,0,0
South Lancaster,CA,1,0,0
Warburg,CA,1,0,0
Ardrossan,CA,1,0,0
Sturgeon County,CA,1,0,0
Santa Maria Texcalac,MX,1,0,0
Hythe,CA,1,0,0
Summerland,CA,1,0,0
Stockholm,CA,1,0,0
Waldheim,CA,1,0,0
San Patricio,MX,1,0,0
Everett,CA,1,0,0
Valle Hermoso,MX,1,0,0
Lyn,CA,1,0,0
Cocagne,CA,1,0,0
Vanguardia Veracruzana,MX,1,0,0
Ticuman,MX,1,0,0
Dresden,CA,1,0,0
Saint-Michel,CA,1,0,0
Egbert,CA,1,0,0
McLeod Hill,CA,1,0,0
Arriaga,MX,1,0,0
Sacramento,MX,1,1,100
Robson,CA,1,0,0
Valemount,CA,1,0,0
Havre-aux-Maisons,CA,1,0,0
Arteaga,MX,1,0,0
Redcliff,CA,1,0,0
Contla,MX,1,0,0
Tixkokob,MX,1,0,0
Notre-Dame-du-Mont-Carmel,CA,1,1,100
Brownsburg-Chatham,CA,1,0,0
Los VelÃ¡squez,MX,1,0,0
Unalaska,US,1,1,100
San Agustin de las Juntas,MX,1,0,0
Mano de LeÃ³n,MX,1,0,0
Ojuelos de Jalisco,MX,1,1,100
Moctezuma,MX,1,0,0
Lomas de San MartÃ­n,MX,1,0,0
Apple Hill,CA,1,0,0
Maugerville,CA,1,0,0
San Miguel Almoloyan,MX,1,0,0
