ARTIST,TITLE,UNIFIED_SONG_ID,DATE,RELEASE_DATE,THIS_DAY,THIS_WEEK,DAYS_SINCE_RELEASE,DAY_OF_WEEK,RN,END_OF_WEEK,POPULARITY,SPOTIFY_FOLLOWER_COUNT,SPOTIFY_LISTENERS_COUNT,SPFOLDAY0,SPFOLDAY1,SPFOLDAY2,SPFOLDAY3,SPFOLDAY4,SPFOLDAY5,SPFOLDAY6,SPLISDAY0,SPLISDAY1,SPLISDAY2,SPLISDAY3,SPLISDAY4,SPLISDAY5,SPLISDAY6,DAY_0,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,TARGET,IG_FOLLOWER_COUNT,IGFOLDAY0,IGFOLDAY1,IGFOLDAY2,IGFOLDAY3,IGFOLDAY4,IGFOLDAY5,IGFOLDAY6
Sir Chloe,Center,197467794,2023-05-25,2023-05-19T00:00:00.000Z,5611,18,6,6,1,true,39,581600,3495643,581600,581094,580644,580102,579566,578995,578544,3495643,3495643,3505221,3515287,3522052,3512633,3510811,5611,6124,6100,6660,6307,6845,8053,28448,117865,117865,117723,117669,117568,117488,117370,117179
Sir Chloe,Know Better,197467795,2023-04-20,2023-04-20T00:00:00.000Z,5611,,0,6,1,true,0,566706,3493710,566706,,,,,,,3493710,,,,,,,5611,,,,,,,92702,114733,114733,,,,,,
Sir Chloe,Leash,197467796,2023-05-25,2023-05-19T00:00:00.000Z,4498,17,6,6,1,true,36,581600,3495643,581600,581094,580644,580102,579566,578995,578544,3495643,3495643,3505221,3515287,3522052,3512633,3510811,4498,4827,4874,5466,5149,5752,6859,20037,117865,117865,117723,117669,117568,117488,117370,117179
Sir Chloe,Obsession,197467797,2023-05-25,2023-05-19T00:00:00.000Z,4236,15,6,6,1,true,36,581600,3495643,581600,581094,580644,580102,579566,578995,578544,3495643,3495643,3505221,3515287,3522052,3512633,3510811,4236,4756,4677,5654,5011,5467,6543,19969,117865,117865,117723,117669,117568,117488,117370,117179
Sir Chloe,Daddy’s Car,197467798,2023-05-25,2023-05-19T00:00:00.000Z,4259,16,6,6,1,true,35,581600,3495643,581600,581094,580644,580102,579566,578995,578544,3495643,3495643,3505221,3515287,3522052,3512633,3510811,4259,4687,4494,5679,5414,5650,6340,19710,117865,117865,117723,117669,117568,117488,117370,117179
Sir Chloe,Cake,197467799,2023-05-25,2023-05-19T00:00:00.000Z,3655,15,6,6,1,true,34,581600,3495643,581600,581094,580644,580102,579566,578995,578544,3495643,3495643,3505221,3515287,3522052,3512633,3510811,3655,3988,4082,4912,4598,5188,5793,16938,117865,117865,117723,117669,117568,117488,117370,117179
Sir Chloe,I Am The Dog,197467800,2023-05-25,2023-05-19T00:00:00.000Z,4374,18,6,6,1,true,40,581600,3495643,581600,581094,580644,580102,579566,578995,578544,3495643,3495643,3505221,3515287,3522052,3512633,3510811,4374,4777,4696,5569,4972,5684,6128,21850,117865,117865,117723,117669,117568,117488,117370,117179
Sir Chloe,Feel Again,197467801,2023-05-25,2023-05-19T00:00:00.000Z,3377,17,6,6,1,true,35,581600,3495643,581600,581094,580644,580102,579566,578995,578544,3495643,3495643,3505221,3515287,3522052,3512633,3510811,3377,3804,3695,4716,4157,4567,5295,16591,117865,117865,117723,117669,117568,117488,117370,117179
KATO2X,Havin Now,197467802,2023-01-26,2023-01-24T00:00:00.000Z,3381,,2,6,1,true,0,88645,54587,88645,88630,88614,,,,,54587,54715,54787,,,,,3381,1074,0,,,,,28655,76246,76246,76165,76084,,,,
Sara Kays,Fireflies,197467805,2023-02-02,2023-01-27T00:00:00.000Z,12868,48,6,6,1,true,33,356870,3038511,356870,356751,356608,356508,356409,356217,356112,3038511,3025106,3003769,2995713,2990972,2990972,2987028,12868,12494,13124,18021,13553,13142,10195,70265,178776,178776,178792,178832,178885,178893,178885,178899
